P50,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
1ŒŽ,62.634408602150536,62.634408602150536,62.634408602150536,62.634408602150536,62.096774193548384,62.096774193548384,62.096774193548384,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864
2ŒŽ,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474
3ŒŽ,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182
4ŒŽ,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333
5ŒŽ,93.01075268817203,93.01075268817203,92.74193548387096,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935
6ŒŽ,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111
7ŒŽ,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419
8ŒŽ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9ŒŽ,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333
10ŒŽ,87.5,87.5,86.96236559139786,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,84.67741935483872
11ŒŽ,73.33333333333333,73.33333333333333,73.05555555555556,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221
12ŒŽ,54.166666666666664,54.03225806451613,54.03225806451613,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451
,,,,,,,,,,,,,,,
all,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
1ŒŽ,62.634408602150536,62.634408602150536,62.634408602150536,62.634408602150536,62.096774193548384,62.096774193548384,62.096774193548384,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864
2ŒŽ,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474
3ŒŽ,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182
4ŒŽ,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333
5ŒŽ,93.01075268817203,93.01075268817203,92.74193548387096,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935
6ŒŽ,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111
7ŒŽ,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419
8ŒŽ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9ŒŽ,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333
10ŒŽ,87.5,87.5,86.96236559139786,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,84.67741935483872
11ŒŽ,73.33333333333333,73.33333333333333,73.05555555555556,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221
12ŒŽ,54.166666666666664,54.03225806451613,54.03225806451613,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451
,,,,,,,,,,,,,,,
2009”N,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0
1ŒŽ,62.634408602150536,62.634408602150536,62.634408602150536,62.634408602150536,62.096774193548384,62.096774193548384,62.096774193548384,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864,60.215053763440864
2ŒŽ,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,63.24404761904761,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474,62.351190476190474
3ŒŽ,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182,65.45698924731182
4ŒŽ,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333,94.58333333333333
5ŒŽ,93.01075268817203,93.01075268817203,92.74193548387096,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935,92.33870967741935
6ŒŽ,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111,99.86111111111111
7ŒŽ,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419,93.54838709677419
8ŒŽ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9ŒŽ,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333,97.08333333333333
10ŒŽ,87.5,87.5,86.96236559139786,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,86.55913978494624,84.67741935483872
11ŒŽ,73.33333333333333,73.33333333333333,73.05555555555556,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221,72.22222222222221
12ŒŽ,54.166666666666664,54.03225806451613,54.03225806451613,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451,53.62903225806451
,,,,,,,,,,,,,,,
