parameter,MP_Dynamic x_max,MP_Dynamic x_min,MP_Dynamic y_max,MP_Dynamic y_min,MP_Dynamic z_max,MP_Dynamic z_min,MP_Dynamic Rx_max,MP_Dynamic Rx_min,MP_Dynamic Ry_max,MP_Dynamic Ry_min,MP_Dynamic Rz_max,MP_Dynamic Rz_min,vessel_Dynamic x_max,vessel_Dynamic x_min,vessel_Dynamic y_max,vessel_Dynamic y_min,vessel_Dynamic z_max,vessel_Dynamic z_min,vessel_Dynamic Rx_max,vessel_Dynamic Rx_min,vessel_Dynamic Ry_max,vessel_Dynamic Ry_min,vessel_Dynamic Rz_max,vessel_Dynamic Rz_min
"H=0.500,T=2.00,Deg=0.0",-0.011661483770284095,-0.022015098407999836,3.119931883724187e-06,-3.198196891949388e-06,0.015568781781226448,0.010737879004352635,2.7878548246403692e-06,-2.8122044082896046e-06,0.0030532340058622583,-0.0029578225080449734,9.190445417666146e-08,-4.1240063148713185e-07,-0.0002739779257521142,-0.005877399206247299,1.2171905310398703e-06,-1.2904379467990248e-06,0.0006802252683813486,0.0005414344979931747,1.4155033871138308e-06,-1.591518025198295e-06,-0.006115468065926433,-0.006793317649598876,1.06344896391287e-06,-1.3069164769150916e-06
"H=0.500,T=2.50,Deg=0.0",-0.002140033058416568,-0.004212262427559401,3.2789913773119968e-06,-2.215002911528072e-06,0.004582446629854076,0.002771420482645226,2.6121531097552038e-06,-2.6189972704785714e-06,0.0010661435875187388,-0.001065472095391732,2.495369829159443e-06,-1.4048542830045663e-06,0.001448023813167078,-0.0002845194951540235,3.641715419707644e-07,-1.7087413249594965e-06,0.0005094085854779859,-0.00018021264197763583,3.4997640788515034e-06,-3.5838811615999804e-06,-0.0012056726258251275,-0.00227811904616473,2.8088269304306034e-06,-1.7093273483021131e-06
"H=0.500,T=3.00,Deg=0.0",0.0007077727345817718,-0.004137147438159688,9.569448724766846e-06,-1.0442389251157199e-05,0.004376380464705676,-0.0002904237206422522,1.0438474826398976e-05,-1.0481817094962248e-05,0.0025588657142017112,-0.0025404672673261753,8.464334258485416e-07,-1.6372498864305776e-06,0.0022947693012627165,-0.0013778470767699751,2.1390847045047905e-06,-1.3932944333590893e-06,0.0008493302701141065,-0.0006644241069317789,5.720391208368197e-06,-5.694238659530476e-06,0.00033601913347886073,-0.002313377231450231,4.8128882508256086e-06,-5.603992286772612e-06
"H=0.500,T=3.50,Deg=0.0",0.005511594308318741,-0.005241570017646642,1.3437901787616076e-05,-1.1463076250160383e-05,0.003420450187206825,-0.0032614750498254352,1.3266825394197771e-05,-1.3263883957328011e-05,0.005761418810832983,-0.0057421455379161705,2.3111159777369848e-06,-7.744295164408548e-07,0.0034241390817682502,-0.003017468079010228,2.717083479757835e-06,-3.7493168959575396e-06,0.0015038126785832475,-0.0014959750436969788,6.295168961121356e-06,-6.237875836770592e-06,0.0022273011797003285,-0.0023068638700331928,8.222875488619914e-06,-6.640578327323432e-06
"H=0.500,T=4.00,Deg=0.0",0.015766262536750675,-0.015178155194914488,6.811081839167834e-05,-6.785260790626782e-05,0.007184688485835977,-0.007307821564907613,7.401817928384966e-05,-7.397711381365349e-05,0.016857582216995407,-0.016818845575968543,2.9955533071291953e-06,-2.8737139396536858e-06,0.00583508459247201,-0.0054306476913989965,6.054338713206598e-07,-8.001746281204944e-07,0.0031050975425837516,-0.0031152693776199235,5.787762129801655e-06,-5.746655954861647e-06,0.00493020347125737,-0.004860894385015256,6.519533290450524e-06,-6.2572644737804735e-06
"H=1.000,T=2.00,Deg=0.0",0.06965528149953305,-0.06705301241497638,8.322348055338138e-06,-7.738315743198955e-06,0.05703502419413553,0.031319067187567384,9.139577752904773e-06,-9.281312444666574e-06,0.05822890346893347,-0.061956005630944666,2.0040929664407994e-06,-2.0556742768845e-06,0.07081668234025323,0.010190802275953122,2.052235596242236e-06,-4.261304884674999e-06,0.0023968516663869567,0.0012154160800194461,4.445122740522973e-06,-4.8837365605115325e-06,-0.016247353338598298,-0.0269634799184996,4.083157699922713e-06,-3.030275003186934e-06
"H=1.000,T=2.50,Deg=0.0",-0.009325627877163505,-0.01454853863507846,6.588489759743203e-06,-4.496208888022576e-06,0.015569659238437339,0.011424053369054832,5.283933494532112e-06,-5.28051221166442e-06,0.0025294036448237685,-0.002551100042576822,4.7835072580452696e-06,-2.9091009767068943e-06,0.004031099857430558,-0.00019265193152921863,7.840781772063695e-07,-3.203596410674937e-06,0.001307347513154676,-9.928692076439626e-05,6.9157674955103215e-06,-7.280108881248729e-06,-0.005244545576389137,-0.007575307608093172,5.420440388358022e-06,-3.552237083033727e-06
"H=1.000,T=3.00,Deg=0.0",-0.0019617659596835946,-0.012462807797075455,1.7729237407262868e-05,-2.227354397031358e-05,0.012088898572855555,0.004001276493369232,2.0793988074975828e-05,-2.0861279398485995e-05,0.00553368511301452,-0.005485225120982597,4.850997338392136e-07,-4.647108089007347e-06,0.00567137665550038,-0.0033144118809132093,5.611979668893576e-06,-1.5181803990383927e-06,0.0018712779683969494,-0.001151509976719474,1.1512102311106975e-05,-1.1328193158217727e-05,-0.001233240170764094,-0.006531255833493273,8.418668265353239e-06,-1.2572397833527263e-05
"H=1.000,T=3.50,Deg=0.0",0.006232037114788718,-0.0151909158047641,2.8724497001346106e-05,-2.0677847583280835e-05,0.011399039644715003,-0.0010393006760835988,2.6247920254801786e-05,-2.62242356233951e-05,0.01145092720183532,-0.011452744806588526,6.201102364785591e-06,-1.326779009727883e-07,0.0077295943450436284,-0.005860954030988166,4.616961880205607e-06,-8.51068931117952e-06,0.0032147519401014776,-0.0027581079983557974,1.2656184532814212e-05,-1.2410997992597674e-05,0.0018528280530842169,-0.006810313080229778,1.803983623815393e-05,-1.1841639275635678e-05
"H=1.000,T=4.00,Deg=0.0",0.030789492238618585,-0.030627922308161463,0.0001364408261455591,-0.0001353474366438166,0.015356667632488552,-0.013937471136713953,0.00014804585034899946,-0.00014779425865385772,0.033672502428701435,-0.03317796739655007,6.267497276891645e-06,-5.495326677821625e-06,0.011513778031894384,-0.010269199002085522,7.645832304025688e-07,-1.9023207096430941e-06,0.006258113351555137,-0.006209137709595206,1.1684398821200742e-05,-1.1524497941376175e-05,0.009512555041380034,-0.01018725132627702,1.339254819446385e-05,-1.2041123324451627e-05
"H=1.500,T=2.00,Deg=0.0",0.016929123542978913,-0.12046105853172559,2.2781588430147287e-05,-1.9952859708511484e-05,0.05706882133073066,0.033522660740743504,1.962699065480074e-05,-1.909473893212726e-05,0.08627660171797907,-0.0842494429262123,1.0171955363782942e-05,-7.852635255648087e-06,0.015791168629959683,-0.036265371728921865,7.384872791779901e-06,-1.054005004127724e-05,0.002960501736899786,0.0014106729698090692,9.164620590405749e-06,-9.985653036752852e-06,-0.017505568899761535,-0.026484019315566352,1.1549276849885685e-05,-1.1176971242978359e-05
"H=1.500,T=2.50,Deg=0.0",-0.028656767890452354,-0.03768362252351161,7.723778423776123e-06,-1.1046960395992841e-05,0.0412467119640354,0.03286774948821858,8.018605166033459e-06,-8.024603343538334e-06,0.004329016751420694,-0.00428600581955399,4.494154114899984e-06,-9.048692800670618e-06,0.008495587863622272,0.0015881633054250512,6.175126519900634e-06,-2.086070462475367e-06,0.002762087958307214,0.0005587619088814126,1.0142694523618567e-05,-1.1189683745378085e-05,-0.015573695915647697,-0.01976105210729418,5.403813964527776e-06,-9.98679951730843e-06
"H=1.500,T=3.00,Deg=0.0",-0.009539834092101344,-0.024932412835939215,2.312370633353472e-05,-3.8631738229651796e-05,0.026692999269400275,0.010885416347150567,3.101159440060871e-05,-3.129328095006176e-05,0.008094019292829893,-0.007952368740057088,-2.999048781494659e-06,-1.2790085235281513e-05,0.007758562317993755,-0.002664400019966115,1.4620242815592046e-05,1.7575576591693949e-06,0.003176946170059919,-0.0014928453885696953,1.7195452634560113e-05,-1.7038742825662233e-05,-0.00468102827849048,-0.013383366308547506,8.915089432393837e-06,-2.4669085558249088e-05
"H=1.500,T=3.50,Deg=0.0",0.0018223415045900174,-0.028922063582461372,4.5781830189634446e-05,-2.8210421830999197e-05,0.02419077796926672,0.00568557905322109,3.9256848778570416e-05,-3.921328870315567e-05,0.016346593687589204,-0.016456283591947757,1.149617603809414e-05,1.8886281969653054e-06,0.011406177793268283,-0.007257758848199895,5.476987464278791e-06,-1.4354164042775166e-05,0.005122770824931797,-0.003808643078775661,1.9028560201698514e-05,-1.8523863107822347e-05,-0.0007152497054489696,-0.013514460580817879,2.9357223358553797e-05,-1.569415427107857e-05
"H=1.500,T=4.00,Deg=0.0",0.04310524635652649,-0.04888506413638218,0.00020430024479055892,-0.00020083045633304965,0.02739379435328715,-0.01744459452720548,0.00022080385296007783,-0.00022018312399706431,0.05118850586891961,-0.048926636059200786,1.0240674510765008e-05,-7.495191781165164e-06,0.01733451982120153,-0.014271887564759647,5.1923327756938946e-08,-3.74872101376924e-06,0.009600308942826905,-0.009173488999447688,1.7562940643770363e-05,-1.7231929453772317e-05,0.012557370331130465,-0.017388195041734517,2.0971387575593038e-05,-1.689909182947087e-05
"H=2.000,T=2.00,Deg=0.0",0.08994933605142202,-0.3166196241607507,4.332336822412899e-05,-2.5202965826895725e-05,0.1408411172967874,0.07132629448072692,3.3399614089250455e-05,-3.440050274266047e-05,0.28986434379349324,-0.2834415113733102,3.8597183718355995e-05,-1.7191471246133182e-05,0.06392190625256561,-0.09845097517192636,1.1433537331786224e-06,-2.482693195268028e-05,0.006979809112478152,0.0020165296846572514,1.4902905126018443e-05,-1.3799755623747103e-05,-0.03193199564519518,-0.0650221744308715,2.884739363870333e-05,-7.1603612349878436e-06
"H=2.000,T=2.50,Deg=0.0",-0.05507947333204702,-0.06858174795041401,1.3680670207854036e-05,-9.60157300419308e-06,0.07678970154896092,0.06009576188218091,1.079257337443162e-05,-1.0819837106824806e-05,0.007849692454025217,-0.007548684716552575,1.051838714319083e-05,-6.270922689857457e-06,0.013550662603807797,0.005985901508153633,1.5701360709625695e-06,-7.4735934997886784e-06,0.004736390028353421,0.001512650822860359,1.3638139119224725e-05,-1.4885160538945802e-05,-0.02875633120627006,-0.03635503004685289,1.156333120144498e-05,-7.3460367230932185e-06
"H=2.000,T=3.00,Deg=0.0",-0.019651313021725524,-0.04354513083329777,2.9919141047318854e-05,-5.222399339878621e-05,0.046033803713811494,0.025337754280201352,4.112935773767871e-05,-4.162516227851904e-05,0.012268522190792006,-0.012006420351506964,-4.20543298945312e-06,-1.7499925326947945e-05,0.01576884827742237,-0.004014989516663721,1.9590372878333035e-05,2.3287643640954356e-06,0.004744445425045906,-0.0015491668285903708,2.315619705561284e-05,-2.2487812667101836e-05,-0.011215938494216492,-0.023247716939418194,1.1730502220842937e-05,-3.347507971588885e-05
"H=2.000,T=3.50,Deg=0.0",0.007422942033018113,-0.033572613936868057,6.427946781905765e-05,-3.5103730271814725e-05,0.02862494917337699,0.002513786862834877,5.2415432749451554e-05,-5.237516748960322e-05,0.021869325232584114,-0.02189607903241887,1.781658379821668e-05,4.474790317636421e-06,0.014756328581541618,-0.009018326327319701,6.13914829186892e-06,-2.079940115422891e-05,0.006648026703571563,-0.005288362473689582,2.5461580224084737e-05,-2.4537881465462127e-05,0.001467052430033343,-0.0161398912500483,4.1752708118373674e-05,-1.899504147582012e-05
"H=2.000,T=4.00,Deg=0.0",0.052587343718422844,-0.07196190971729165,0.0002698164040883579,-0.000263232690963277,0.0446369113258811,-0.01642641597355521,0.0002906876380109425,-0.00028953787271606345,0.07038808756868586,-0.06519566308499664,1.4632893445895673e-05,-9.261084985545485e-06,0.02437559811129547,-0.01835313780387566,-1.0701170395282587e-06,-6.161033450867036e-06,0.013179634219627147,-0.011954538236885921,2.320391935600976e-05,-2.263578564403746e-05,0.01354588513332916,-0.02699292845319559,2.8951181157281106e-05,-2.121007038300309e-05
